time,ax,ay,az,gx,gy,gz,mx,my,mz
2783,-0.70,-0.62,14.19,0.93,1.98,-0.07,50.05,38.33,-65.21
2794,0.45,-0.58,10.59,1.17,5.71,0.62,50.05,38.33,-65.21
2805,0.45,-0.58,10.59,1.17,5.71,0.62,50.05,38.33,-65.21
2816,0.88,0.76,5.09,1.38,8.12,0.67,50.05,38.33,-65.21
2827,0.88,0.76,5.09,1.38,8.12,0.67,50.05,38.33,-65.21
2838,0.77,-2.98,1.51,3.88,9.26,0.06,50.05,38.33,-65.21
2849,-1.80,-1.42,0.57,4.05,9.06,0.53,58.03,33.19,-39.30
2860,-1.80,-1.42,0.57,4.05,9.06,0.53,58.03,33.19,-39.30
2871,-3.13,3.77,-1.78,2.46,8.38,1.18,58.03,33.19,-39.30
2882,-3.13,3.77,-1.78,2.46,8.38,1.18,58.03,33.19,-39.30
2893,-3.80,4.08,-1.47,2.89,7.53,0.78,58.03,33.19,-39.30
2904,-3.80,4.08,-1.47,2.89,7.53,0.78,58.03,33.19,-39.30
2915,-4.69,1.38,-0.60,3.67,7.25,0.21,58.03,33.19,-39.30
2926,-4.69,1.38,-0.60,3.67,7.25,0.21,58.03,33.19,-39.30
2937,-6.60,3.01,-4.46,3.06,7.69,1.03,58.03,33.19,-39.30
2948,-6.60,3.01,-4.46,3.06,7.69,1.03,58.03,33.19,-39.30
2959,-4.78,7.31,-5.81,4.19,8.16,1.44,58.03,33.19,-39.30
2970,-2.33,1.77,-7.18,3.60,7.19,-0.15,58.03,33.19,-39.30
2981,-2.33,1.77,-7.18,3.60,7.19,-0.15,58.03,33.19,-39.30
2992,-2.40,-4.81,-8.73,0.43,5.04,-0.67,39.40,39.75,-2.75
3003,-2.40,-4.81,-8.73,0.43,5.04,-0.67,39.40,39.75,-2.75
3014,-5.30,1.34,-10.88,-1.75,3.50,1.22,39.40,39.75,-2.75
3025,-5.30,1.34,-10.88,-1.75,3.50,1.22,39.40,39.75,-2.75
3036,-6.88,9.58,-13.22,-0.60,3.37,2.40,39.40,39.75,-2.75
3047,-6.88,9.58,-13.22,-0.60,3.37,2.40,39.40,39.75,-2.75
3058,-6.49,9.96,-13.57,1.95,3.02,1.54,39.40,39.75,-2.75
3069,-4.81,3.89,-8.38,3.11,1.56,0.42,39.40,39.75,-2.75
3080,-4.81,3.89,-8.38,3.11,1.56,0.42,39.40,39.75,-2.75
3091,-4.30,0.93,-6.46,1.70,1.08,0.52,39.40,39.75,-2.75
3102,-4.30,0.93,-6.46,1.70,1.08,0.52,39.40,39.75,-2.75
3113,-5.34,4.01,-6.83,-0.61,2.24,1.08,26.44,43.12,0.86
3124,-5.34,4.01,-6.83,-0.61,2.24,1.08,26.44,43.12,0.86
3135,-4.41,8.99,-12.52,-1.75,4.41,0.99,26.44,43.12,0.86
3146,-4.41,8.99,-12.52,-1.75,4.41,0.99,26.44,43.12,0.86
3157,-2.75,9.87,-15.40,-0.32,5.39,-0.19,26.44,43.12,0.86
3168,-2.75,9.87,-15.40,-0.32,5.39,-0.19,26.44,43.12,0.86
3179,-1.01,4.63,-13.52,1.03,4.63,-2.07,26.44,43.12,0.86
3190,0.12,-0.46,-9.95,-0.32,2.97,-2.71,26.44,43.12,0.86
3201,0.12,-0.46,-9.95,-0.32,2.97,-2.71,26.44,43.12,0.86
3212,0.19,2.56,-8.96,-2.29,2.80,-1.81,26.44,43.12,0.86
3223,0.19,2.56,-8.96,-2.29,2.80,-1.81,26.44,43.12,0.86
3234,0.05,5.84,-13.95,-3.18,3.89,-1.49,8.70,37.09,6.35
3245,0.05,5.84,-13.95,-3.18,3.89,-1.49,8.70,37.09,6.35
3256,-0.11,4.67,-18.64,-2.45,3.62,-1.79,8.70,37.09,6.35
