time,ax,ay,az,gx,gy,gz,mx,my,mz
5405.00,-0.49,6.10,-8.15,-0.15,0.18,0.00,-52.00,1.00,34.00
5483.00,0.55,6.28,-8.15,-0.04,0.22,-0.02,-52.00,4.00,36.00
5563.00,-1.18,6.38,-7.89,-0.10,0.20,-0.09,-52.00,4.00,36.00
5653.00,-1.06,6.48,-7.78,-0.04,0.20,-0.04,-54.00,4.00,36.00
5665.00,-1.06,6.48,-7.78,-0.04,0.20,-0.04,-54.00,4.00,36.00
5677.00,-2.65,6.43,-7.71,-0.10,0.16,-0.06,-54.00,4.00,36.00
5689.00,-2.65,6.43,-7.71,-0.10,0.16,-0.06,-54.00,4.00,36.00
5701.00,-3.32,6.00,-7.83,-0.07,0.16,-0.04,-54.00,4.00,36.00
5904.00,-0.71,6.28,-7.99,-0.07,0.07,0.12,-56.00,3.00,36.00
5915.00,-0.77,6.28,-7.93,-0.07,0.06,0.11,-56.00,3.00,36.00
5927.00,-0.77,6.28,-7.93,-0.07,0.06,0.11,-56.00,3.00,36.00
5939.00,0.04,6.71,-7.71,-0.05,0.08,0.12,-56.00,3.00,36.00
5952.00,-0.84,6.72,-7.70,-0.06,0.09,0.07,-56.00,4.00,36.00
5963.00,-0.84,6.72,-7.70,-0.06,0.09,0.07,-56.00,4.00,36.00
5975.00,-0.16,6.62,-7.71,-0.03,0.14,0.03,-56.00,4.00,36.00
5987.00,-0.16,6.62,-7.71,-0.03,0.14,0.03,-56.00,4.00,36.00
6001.00,-0.45,6.42,-7.83,-0.03,0.18,-0.00,-56.00,4.00,36.00
6012.00,-0.63,6.37,-7.84,-0.07,0.19,-0.06,-56.00,4.00,36.00
6023.00,-0.63,6.37,-7.84,-0.07,0.19,-0.06,-56.00,4.00,36.00
6035.00,-1.36,6.47,-7.67,-0.06,0.23,-0.10,-56.00,4.00,36.00
6048.00,-1.36,6.47,-7.67,-0.06,0.23,-0.10,-56.00,4.00,36.00
6060.00,-0.34,6.21,-7.93,-0.04,0.29,-0.14,-56.00,4.00,36.00
6072.00,0.36,6.13,-8.15,-0.00,0.28,-0.08,-58.00,4.00,38.00
6083.00,0.36,6.13,-8.15,-0.00,0.28,-0.08,-58.00,4.00,38.00
6095.00,-0.55,6.36,-7.87,-0.08,0.18,-0.05,-58.00,4.00,38.00
6108.00,-0.55,6.36,-7.87,-0.08,0.18,-0.05,-58.00,4.00,38.00
6120.00,-0.47,6.29,-7.94,-0.06,0.18,-0.04,-58.00,4.00,38.00
6132.00,-0.61,6.44,-7.86,-0.06,0.19,-0.04,-58.00,4.00,38.00
6143.00,-0.61,6.44,-7.86,-0.06,0.19,-0.04,-58.00,4.00,38.00
6155.00,-0.50,6.15,-8.05,-0.05,0.20,-0.05,-58.00,4.00,38.00
6167.00,-0.50,6.15,-8.05,-0.05,0.20,-0.05,-58.00,4.00,38.00
6178.00,-0.59,6.22,-7.99,-0.04,0.20,-0.03,-58.00,4.00,38.00
6189.00,-0.59,6.22,-7.99,-0.04,0.20,-0.03,-58.00,4.00,38.00
6203.00,-0.66,6.34,-7.88,-0.07,0.17,-0.03,-58.00,4.00,38.00
6215.00,-0.64,6.34,-7.90,-0.04,0.18,-0.02,-52.00,3.00,36.00
6226.00,-0.64,6.34,-7.90,-0.04,0.18,-0.02,-52.00,3.00,36.00
6238.00,-0.62,6.33,-7.90,-0.05,0.18,-0.02,-52.00,3.00,36.00
6374.00,-0.61,6.35,-7.87,-0.04,0.18,-0.01,-56.00,3.00,38.00
6460.00,-0.64,6.34,-7.90,-0.05,0.18,-0.02,-56.00,3.00,34.00
6472.00,-0.60,6.35,-7.91,-0.05,0.18,-0.02,-56.00,3.00,34.00
6484.00,-0.60,6.35,-7.91,-0.05,0.18,-0.02,-56.00,3.00,34.00
6498.00,-0.60,6.33,-7.91,-0.05,0.18,-0.02,-56.00,3.00,34.00
6510.00,-0.60,6.33,-7.91,-0.05,0.18,-0.02,-56.00,3.00,34.00
6521.00,-0.60,6.34,-7.92,-0.05,0.18,-0.02,-56.00,3.00,34.00
6533.00,-0.64,6.34,-7.90,-0.05,0.18,-0.02,-56.00,3.00,34.00
6544.00,-0.64,6.34,-7.90,-0.05,0.18,-0.02,-56.00,3.00,34.00
6557.00,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.00,3.00,34.00
6569.00,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.00,3.00,34.00
6580.00,-0.66,6.34,-7.89,-0.05,0.18,-0.02,-56.00,3.00,34.00
6592.00,-0.63,6.33,-7.90,-0.05,0.18,-0.02,-54.00,3.00,36.00
6605.00,-0.63,6.33,-7.90,-0.05,0.18,-0.02,-54.00,3.00,36.00
6617.00,-0.60,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,36.00
6629.00,-0.60,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,36.00
6640.00,-0.61,6.36,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
6653.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
6665.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
6676.00,-0.67,6.32,-7.87,-0.05,0.18,-0.02,-54.00,3.00,36.00
6688.00,-0.67,6.32,-7.87,-0.05,0.18,-0.02,-54.00,3.00,36.00
